uuid,scenario,round,profile,trust,ethnicity,age,class,education,sex,choice,selected
uuid:f3170722-a771-459c-9d06-4f6259c04a10,1,1,A,5,Bosniak,49,Lower,Primary school,Female,A,1
uuid:f3170722-a771-459c-9d06-4f6259c04a10,1,1,B,5,Serb,23,Middle,None,Male,A,0
uuid:f3170722-a771-459c-9d06-4f6259c04a10,1,2,A,6,Serb,67,Lower,Primary school,Female,B,0
uuid:f3170722-a771-459c-9d06-4f6259c04a10,1,2,B,6,Serb,67,Upper,None,Male,B,1
uuid:f3170722-a771-459c-9d06-4f6259c04a10,1,3,A,4,Croat,23,Lower,Primary school,Female,B,0
uuid:f3170722-a771-459c-9d06-4f6259c04a10,1,3,B,5,Bosniak,67,Middle,University,Female,B,1
uuid:f3170722-a771-459c-9d06-4f6259c04a10,2,1,A,5,Croat,49,Upper,None,Female,B,0
uuid:f3170722-a771-459c-9d06-4f6259c04a10,2,1,B,5,Bosniak,23,Middle,Primary school,Female,B,1
uuid:f3170722-a771-459c-9d06-4f6259c04a10,2,2,A,5,Croat,23,Lower,Primary school,Male,B,0
uuid:f3170722-a771-459c-9d06-4f6259c04a10,2,2,B,5,Croat,49,Lower,University,Male,B,1
uuid:f3170722-a771-459c-9d06-4f6259c04a10,2,3,A,5,Croat,23,Middle,None,Male,A,1
uuid:f3170722-a771-459c-9d06-4f6259c04a10,2,3,B,5,Serb,67,Middle,University,Male,A,0
uuid:fc345371-a176-4d56-8010-1fecc028e58c,1,1,A,5,Bosniak,23,Upper,None,Female,A,1
uuid:fc345371-a176-4d56-8010-1fecc028e58c,1,1,B,4,Serb,49,Middle,None,Male,A,0
uuid:fc345371-a176-4d56-8010-1fecc028e58c,1,2,A,5,Croat,67,Lower,None,Female,B,0
uuid:fc345371-a176-4d56-8010-1fecc028e58c,1,2,B,5,Bosniak,23,Middle,University,Male,B,1
uuid:fc345371-a176-4d56-8010-1fecc028e58c,1,3,A,4,Croat,67,Upper,Primary school,Male,B,0
uuid:fc345371-a176-4d56-8010-1fecc028e58c,1,3,B,4,Croat,67,Upper,None,Female,B,1
uuid:fc345371-a176-4d56-8010-1fecc028e58c,2,1,A,4,Croat,23,Lower,University,Male,B,0
uuid:fc345371-a176-4d56-8010-1fecc028e58c,2,1,B,4,Bosniak,67,Upper,University,Female,B,1
uuid:fc345371-a176-4d56-8010-1fecc028e58c,2,2,A,4,Croat,49,Middle,Primary school,Female,A,1
uuid:fc345371-a176-4d56-8010-1fecc028e58c,2,2,B,4,Serb,67,Lower,Primary school,Male,A,0
uuid:fc345371-a176-4d56-8010-1fecc028e58c,2,3,A,4,Croat,49,Lower,Primary school,Female,B,0
uuid:fc345371-a176-4d56-8010-1fecc028e58c,2,3,B,4,Croat,23,Lower,None,Female,B,1
uuid:6f65bee0-1311-42d4-b941-3d81dc082706,1,1,A,4,Bosniak,49,Upper,Primary school,Female,A,1
uuid:6f65bee0-1311-42d4-b941-3d81dc082706,1,1,B,5,Croat,49,Middle,University,Male,A,0
uuid:6f65bee0-1311-42d4-b941-3d81dc082706,1,2,A,5,Bosniak,23,Lower,Primary school,Male,A,1
uuid:6f65bee0-1311-42d4-b941-3d81dc082706,1,2,B,5,Croat,67,Lower,University,Male,A,0
uuid:6f65bee0-1311-42d4-b941-3d81dc082706,1,3,A,5,Croat,49,Lower,University,Male,A,1
uuid:6f65bee0-1311-42d4-b941-3d81dc082706,1,3,B,5,Croat,67,Upper,University,Male,A,0
uuid:6f65bee0-1311-42d4-b941-3d81dc082706,2,1,A,4,Serb,67,Middle,University,Male,A,1
uuid:6f65bee0-1311-42d4-b941-3d81dc082706,2,1,B,4,Serb,67,Upper,None,Male,A,0
uuid:6f65bee0-1311-42d4-b941-3d81dc082706,2,2,A,4,Serb,49,Middle,None,Male,B,0
uuid:6f65bee0-1311-42d4-b941-3d81dc082706,2,2,B,5,Croat,23,Upper,Primary school,Male,B,1
uuid:6f65bee0-1311-42d4-b941-3d81dc082706,2,3,A,5,Bosniak,67,Upper,Primary school,Female,A,1
uuid:6f65bee0-1311-42d4-b941-3d81dc082706,2,3,B,3,Croat,67,Upper,University,Male,A,0
uuid:cd620390-93cc-4977-8215-d2b32b4a25d3,1,1,A,4,Croat,49,Upper,None,Female,A,1
uuid:cd620390-93cc-4977-8215-d2b32b4a25d3,1,1,B,4,Serb,23,Lower,Primary school,Male,A,0
uuid:cd620390-93cc-4977-8215-d2b32b4a25d3,1,2,A,4,Bosniak,23,Lower,University,Male,B,0
uuid:cd620390-93cc-4977-8215-d2b32b4a25d3,1,2,B,4,Serb,23,Lower,Primary school,Male,B,1
uuid:cd620390-93cc-4977-8215-d2b32b4a25d3,1,3,A,5,Bosniak,49,Upper,None,Female,A,1
uuid:cd620390-93cc-4977-8215-d2b32b4a25d3,1,3,B,4,Serb,49,Upper,Primary school,Male,A,0
uuid:cd620390-93cc-4977-8215-d2b32b4a25d3,2,1,A,4,Bosniak,23,Middle,Primary school,Male,B,0
uuid:cd620390-93cc-4977-8215-d2b32b4a25d3,2,1,B,5,Croat,49,Lower,University,Male,B,1
uuid:cd620390-93cc-4977-8215-d2b32b4a25d3,2,2,A,4,Bosniak,67,Middle,None,Female,B,0
uuid:cd620390-93cc-4977-8215-d2b32b4a25d3,2,2,B,4,Bosniak,23,Upper,University,Male,B,1
uuid:cd620390-93cc-4977-8215-d2b32b4a25d3,2,3,A,5,Serb,49,Lower,University,Male,A,1
uuid:cd620390-93cc-4977-8215-d2b32b4a25d3,2,3,B,5,Bosniak,67,Middle,Primary school,Male,A,0
uuid:707bf7b9-c792-43f7-b71a-dfe9c8287d76,1,1,A,4,Bosniak,49,Upper,None,Female,A,1
uuid:707bf7b9-c792-43f7-b71a-dfe9c8287d76,1,1,B,4,Serb,23,Upper,None,Female,A,0
uuid:707bf7b9-c792-43f7-b71a-dfe9c8287d76,1,2,A,4,Croat,49,Middle,Primary school,Female,B,0
uuid:707bf7b9-c792-43f7-b71a-dfe9c8287d76,1,2,B,4,Croat,23,Upper,University,Male,B,1
uuid:707bf7b9-c792-43f7-b71a-dfe9c8287d76,1,3,A,4,Bosniak,49,Lower,University,Male,A,1
uuid:707bf7b9-c792-43f7-b71a-dfe9c8287d76,1,3,B,4,Croat,49,Middle,Primary school,Male,A,0
uuid:707bf7b9-c792-43f7-b71a-dfe9c8287d76,2,1,A,4,Serb,23,Upper,None,Male,A,1
uuid:707bf7b9-c792-43f7-b71a-dfe9c8287d76,2,1,B,4,Serb,67,Lower,None,Male,A,0
uuid:707bf7b9-c792-43f7-b71a-dfe9c8287d76,2,2,A,4,Croat,49,Middle,Primary school,Female,B,0
uuid:707bf7b9-c792-43f7-b71a-dfe9c8287d76,2,2,B,4,Bosniak,49,Middle,University,Female,B,1
uuid:707bf7b9-c792-43f7-b71a-dfe9c8287d76,2,3,A,4,Bosniak,23,Middle,None,Female,A,1
uuid:707bf7b9-c792-43f7-b71a-dfe9c8287d76,2,3,B,4,Croat,23,Lower,None,Male,A,0
