uuid,prc_id,resp_age,resp_male,resp_ethn,resp_educ,resp_victimized,fm_killed,crsv_self,crsv_self_family,crsv_self_family2,victim_other
uuid:189e3b19-75dd-4658-95d1-d03dfa224561,S110N2,66,1,Bosniak,Vocational,0,0,0,0,NA,0
uuid:5146a267-7358-430c-a406-6d38b0ed656b,S110N2,33,1,Bosniak,Secondary,0,NA,NA,NA,0,0
uuid:d3a375c6-3c33-402a-b0b6-66e33cb10efc,S110N2,34,0,Bosniak,PostSecondary,0,NA,NA,NA,0,0
uuid:0f8d8eb8-0990-4057-8c5f-07cfcbb39f5e,S110N2,34,0,Bosniak,Master,0,NA,NA,NA,0,0
uuid:3c700536-913a-4a0b-9f65-e0697e7e29df,S110N1,57,0,Bosniak,Vocational,1,0,0,0,NA,1
uuid:4741dab1-0935-4e3a-a440-75edb5d1a8e6,S110N1,29,0,Bosniak,Bachelor,0,NA,NA,NA,0,0
uuid:0df6ab7f-fc29-4506-b95b-02e0c2d83dcf,S110N1,39,0,Bosniak,Vocational,0,NA,NA,NA,0,0
uuid:c0394357-147a-4f69-9536-fbb28b688223,S110N1,37,1,Bosniak,Vocational,0,NA,NA,NA,0,0
uuid:f3170722-a771-459c-9d06-4f6259c04a10,S1N1,53,1,Bosniak,Vocational,0,0,0,0,NA,0
uuid:fc345371-a176-4d56-8010-1fecc028e58c,S1N1,36,0,Bosniak,Bachelor,0,NA,NA,NA,0,0
uuid:6f65bee0-1311-42d4-b941-3d81dc082706,S1N1,30,1,Bosniak,Vocational,0,NA,NA,NA,0,0
uuid:cd620390-93cc-4977-8215-d2b32b4a25d3,S1N1,54,1,Bosniak,Vocational,0,0,0,0,NA,0
uuid:707bf7b9-c792-43f7-b71a-dfe9c8287d76,S1N1,31,0,Bosniak,Bachelor,0,NA,NA,NA,0,0
uuid:649a71ae-02ba-4d36-9c7f-e2ffa7b08dd5,S1N1,36,0,Bosniak,Secondary,0,NA,NA,NA,0,0
uuid:f0eff44e-a8f9-4440-899a-b2ee4c4e981e,S1N1,30,0,Bosniak,Bachelor,0,NA,NA,NA,0,0
uuid:5a2f6e79-e8e0-4266-bfbb-acfdc89c6fc3,S1N1,31,0,Bosniak,Bachelor,0,NA,NA,NA,0,0
uuid:2360959f-57c0-4530-9d21-023c2bf27f3a,S41N1,29,1,Bosniak,Bachelor,0,NA,NA,NA,0,0
uuid:b31c1a3d-a5f3-4abb-8c2a-d69aa58c9066,S41N1,19,1,Bosniak,Secondary,0,NA,NA,NA,0,0
uuid:a5e0fa35-058a-419b-b308-1f8ce16a8c5c,S41N1,26,0,Bosniak,Bachelor,0,NA,NA,NA,0,0
uuid:f76fab76-db79-481d-bc75-d3802f3e3940,S41N1,20,1,Bosniak,Vocational,0,NA,NA,NA,0,0
uuid:40e7d8e2-2d3d-4f32-9c9c-b4be3e304723,S41N1,36,0,Bosniak,Bachelor,0,NA,NA,NA,0,0
uuid:8bb15f88-8548-49b7-88bc-4802fdf12412,S41N1,30,0,Bosniak,Bachelor,0,NA,NA,NA,0,0
uuid:b961fb16-1b8b-41d8-aa57-98ad345cf958,S41N1,30,1,Bosniak,PostSecondary,0,NA,NA,NA,0,0
uuid:cc05453d-9955-4225-8e7f-bd1d951cc48b,S41N1,44,1,Bosniak,Bachelor,0,1,0,0,NA,0
uuid:99dcd60c-ea16-4ec4-94d8-28d80b4ccc68,S110N2,57,0,Bosniak,Secondary,0,0,0,0,NA,0
uuid:5dffa1a2-f68a-439d-b648-5fce4b28163f,S110N2,62,1,Bosniak,Vocational,0,0,0,0,NA,0
uuid:831c25a4-37ed-419a-ae63-9925f930a5b9,S110N2,33,1,Bosniak,Master,0,NA,NA,NA,0,0
uuid:2dc27594-e3e5-4589-bcf3-0a5dfd68fc4c,S21N1,29,0,Bosniak,Bachelor,0,NA,NA,NA,1,0
uuid:8d1b44b5-73b8-4578-bdae-db85554e6113,S23N2,38,1,Bosniak,Vocational,0,NA,NA,NA,0,0
uuid:14aa9884-cc16-40e0-9844-7617771cf88e,S23N2,50,0,Bosniak,Vocational,0,0,0,0,NA,0
uuid:0a6d0ec6-4690-45b1-94d4-0382f0813ed1,S23N2,31,1,Bosniak,Doctor,0,NA,NA,NA,0,0
uuid:0f38ef96-e78f-4c34-8c03-c9fcb5d183f3,S23N2,38,1,Bosniak,Vocational,0,NA,NA,NA,0,0
uuid:7112bceb-7fd8-4817-ab36-5d8fe07b080a,S23N2,50,0,Bosniak,Vocational,0,0,0,0,NA,0
uuid:e1a17949-ebdc-4b6c-894e-d67f23612cbc,S23N2,32,0,Bosniak,Bachelor,0,NA,NA,NA,0,0
uuid:e059bde5-8de3-41b8-a7b8-0fb9a5e8bf3a,S23N2,54,0,Bosniak,Vocational,0,1,0,0,NA,0
uuid:1a3de958-a48c-48c4-a060-1bfbeb09ef7c,S23N2,44,1,Bosniak,Vocational,0,0,0,0,NA,0
uuid:ac1bb87f-e1f7-4791-83a6-f8517488f575,S37N1,38,1,Bosniak,Vocational,0,NA,NA,NA,0,0
uuid:89ef9886-7a31-4309-b7ea-d2e3b6e15717,S37N1,70,1,Bosniak,Vocational,0,0,0,0,NA,0
uuid:92a858be-345b-4cce-9f46-0ae97d694471,S37N1,19,1,Bosniak,Secondary,0,NA,NA,NA,0,0
